2026-02-21 18:08:25,403 | WARNING  | backtest_cache | backtest_cache.py:256 | get_candles | Backtest cache: fetch failed NSE-TATAELXSI 5minute 2026-02-16 09:15:00-2026-02-20 15:30:00: GrowwAPI.get_historical_candles() got an unexpected keyword argument 'symbol'
2026-02-21 18:09:57,998 | INFO     | root | main.py:91 | lifespan | ============================================================
2026-02-21 18:09:58,000 | INFO     | root | main.py:92 | lifespan | Shutting down GrowwBot API Server
2026-02-21 18:09:58,000 | INFO     | root | main.py:93 | lifespan | ============================================================
2026-02-21 18:09:58,000 | INFO     | root | main.py:95 | lifespan | Stopping algo engine...
2026-02-21 18:10:13,005 | INFO     | services.algo_engine | algo_engine.py:154 | stop | AlgoEngine stopped
2026-02-21 18:10:13,005 | INFO     | root | main.py:97 | lifespan | Algo engine stopped
2026-02-21 18:10:13,005 | INFO     | root | main.py:99 | lifespan | Stopping position monitor...
2026-02-21 18:10:14,869 | INFO     | services.position_monitor | position_monitor.py:55 | stop | PositionMonitor stopped
2026-02-21 18:10:14,869 | INFO     | root | main.py:101 | lifespan | Position monitor stopped
2026-02-21 18:10:14,869 | INFO     | root | main.py:103 | lifespan | ✅ Server shutdown complete
2026-02-21 18:10:15,103 | INFO     | services.algo_engine | algo_engine.py:130 | register_algo | Registered algo: momentum_scalp (Momentum Scalping) enabled=True
2026-02-21 18:10:15,103 | INFO     | services.algo_engine | algo_engine.py:130 | register_algo | Registered algo: mean_reversion (Mean Reversion) enabled=True
2026-02-21 18:10:15,108 | INFO     | root | main.py:239 | <module> | New API routes mounted
2026-02-21 18:10:15,108 | INFO     | root | main.py:245 | <module> | WebSocket routes mounted
2026-02-21 18:10:15,109 | INFO     | root | main.py:60 | lifespan | ============================================================
2026-02-21 18:10:15,109 | INFO     | root | main.py:61 | lifespan | Starting GrowwBot API Server
2026-02-21 18:10:15,109 | INFO     | root | main.py:62 | lifespan | ============================================================
2026-02-21 18:10:15,109 | INFO     | root | main.py:65 | lifespan | Initializing database...
2026-02-21 18:10:15,109 | INFO     | root | main.py:67 | lifespan | Database initialized
2026-02-21 18:10:15,109 | INFO     | root | main.py:75 | lifespan | Services initialized
2026-02-21 18:10:15,109 | INFO     | root | main.py:78 | lifespan | Starting position monitor...
2026-02-21 18:10:15,109 | INFO     | services.position_monitor | position_monitor.py:49 | start | PositionMonitor started (poll every 5s)
2026-02-21 18:10:15,109 | INFO     | root | main.py:80 | lifespan | Position monitor started
2026-02-21 18:10:15,109 | INFO     | root | main.py:82 | lifespan | Starting algo engine...
2026-02-21 18:10:15,109 | INFO     | services.algo_engine | algo_engine.py:267 | _loop | AlgoEngine loop starting
2026-02-21 18:10:15,109 | INFO     | services.algo_engine | algo_engine.py:144 | start | AlgoEngine started with 2 algorithms: momentum_scalp, mean_reversion
2026-02-21 18:10:15,110 | INFO     | root | main.py:84 | lifespan | Algo engine started
2026-02-21 18:10:15,110 | INFO     | root | main.py:86 | lifespan | ✅ Server startup complete
2026-02-21 18:10:15,112 | INFO     | root | main.py:133 | logging_middleware | [f21fada4] → Request POST /api/backtest/run
